year	step	length	number
2008	4	132	8
2008	4	136	4
2008	4	140	4
2008	4	148	1
2008	4	152	2
2008	4	156	1
2008	4	40	2
2008	4	44	4
2008	4	48	32
2008	4	52	43
2008	4	56	83
2008	4	60	85
2008	4	64	102
2008	4	68	131
2008	4	72	151
2008	4	76	182
2008	4	80	178
2008	4	84	167
2008	4	88	129
2008	4	92	137
2008	4	96	115
2009	1	100	118
2009	1	104	101
2009	1	108	71
2009	1	112	41
2009	1	116	35
2009	1	120	26
2009	1	124	16
2009	1	128	5
2009	1	132	6
2009	1	136	3
2009	1	140	3
2009	1	148	3
2009	1	156	1
2009	1	36	2
2009	1	40	10
2009	1	44	25
2009	1	48	39
2009	1	52	60
2009	1	56	95
2009	1	60	107
2009	1	64	149
2009	1	68	185
2009	1	72	272
2009	1	76	252
2009	1	80	305
2009	1	84	268
2009	1	88	234
2009	1	92	197
2009	1	96	154
2009	2	100	193
2009	2	104	157
2009	2	108	127
2009	2	112	93
2009	2	116	83
2009	2	120	59
2009	2	124	29
2009	2	128	14
2009	2	132	5
2009	2	136	6
2009	2	144	3
2009	2	152	1
2009	2	36	1
2009	2	40	5
2009	2	44	16
2009	2	48	13
2009	2	52	27
2009	2	56	59
2009	2	60	74
2009	2	64	97
2009	2	68	126
2009	2	72	179
2009	2	76	242
2009	2	80	261
2009	2	84	283
2009	2	88	233
2009	2	92	232
2009	2	96	179
2009	3	100	97
2009	3	104	75
2009	3	108	61
2009	3	112	42
2009	3	116	20
2009	3	120	23
2009	3	124	13
2009	3	128	15
2009	3	132	3
2009	3	136	1
2009	3	140	3
2009	3	144	2
2009	3	148	1
2009	3	152	1
2009	3	156	4
2009	3	44	1
2009	3	48	5
2009	3	52	19
2009	3	56	33
2009	3	60	59
2009	3	64	50
2009	3	68	110
2009	3	72	145
2009	3	76	178
2009	3	80	215
2009	3	84	235
2009	3	88	186
2009	3	92	174
2009	3	96	141
2009	4	100	66
2009	4	104	56
2009	4	108	36
2009	4	112	40
2009	4	116	31
2009	4	120	15
2009	4	124	18
2009	4	128	16
2009	4	132	4
2009	4	136	6
2009	4	140	4
2009	4	144	2
2009	4	148	3
2009	4	156	3
2009	4	20	1
2009	4	40	1
2009	4	44	8
2009	4	48	23
2009	4	52	55
2009	4	56	73
2009	4	60	86
2009	4	64	104
2009	4	68	121
2009	4	72	114
2009	4	76	102
2009	4	80	125
2009	4	84	127
2009	4	88	99
2009	4	92	100
2009	4	96	83
2010	1	100	80
2010	1	104	47
2010	1	108	38
2010	1	112	24
2010	1	116	19
2010	1	120	19
2010	1	124	7
2010	1	128	8
2010	1	132	1
2010	1	136	1
2010	1	140	3
2010	1	144	1
2010	1	156	1
2010	1	40	6
2010	1	44	17
2010	1	48	40
2010	1	52	65
2010	1	56	104
2010	1	60	152
2010	1	64	213
2010	1	68	249
2010	1	72	276
2010	1	76	281
